stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
4414,37977,70865,-46.41,1315072,0.38,1.08,12.56,55.4597505271086,1.83843148413645,0.868001801094728,62474,69943,-10.68,4414,如興,1893722,2122699,-10.79,78046,97237,-15572,-27294
4426,154525,131154,17.82,766152,2.02,1.71,17.3,65.8047684650805,2.58977097282552,1.78018430967866,187572,159806,17.37,4426,利勤,975453,847334,15.12,186029,157742,1543,2064
05,20212536,13287786,52.11,115747674,2.34,1.78,21.26,37.7780320513901,1.28227938056956,0.780888701629604,26702783,15669851,70.41,05,電機機械類,315700775,294283214,7.28,23937996,14584100,2764787,1085751
1503,990831,861318,15.04,5209722,1.9,1.65,39.78,61.4354966066805,1.42605689886846,0.8628492727772,1303335,1168078,11.58,1503,士電,14532566,14217508,2.22,1007380,1029404,295955,138674
1504,3365612,2897475,16.16,20026929,1.71,1.57,23.33,57.8604712372294,2.20425122171803,1.53623890812891,4746969,4148349,14.43,1504,東元,41224290,42851076,-3.8,3616954,3572284,1130015,576065
1506,10749,-38771,,1222516,0.09,-0.32,10.2,51.9052131675303,1.61176983635775,0.844907561022185,8609,-34059,,1506,正道,1153981,1066991,8.15,21453,-47340,-12844,13281
1507,1588818,1138535,39.55,4108200,3.89,2.79,26.75,35.6659690838989,1.22606407121104,0.540660584886674,2133409,1547177,37.89,1507,永大,17189770,14039529,22.44,2006304,1406133,127105,141044
1512,-205914,-167583,,1818025,-1.13,-0.92,9.67,30.8639008971899,1.11868859228553,0.630803072445469,-158421,-134893,,1512,瑞利,2747013,2310467,18.89,-117324,-111301,-41097,-23592
1513,391718,342624,14.33,4200000,0.84,0.73,17.27,48.1858516944671,1.51057993144145,0.709652146745229,493029,441882,11.57,1513,中興電,7699216,7257187,6.09,365567,317373,127462,124509
1514,51198,53446,-4.21,2010670,0.26,0.28,13.17,56.4392185629065,1.7602837183914,1.22184435353789,49112,65695,-25.24,1514,亞力,2227813,2655753,-16.11,16278,55613,32834,10082
