stock,公司,營業收入,88年1-3月,,營業利益,88年1-3月,營業外,88年1-3月,稅後純益,88年1-3月,,期末股本,稅後純益,88年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,
16,   16 電器電纜  ,21431234,19833219,8.06,623364,743922,6215627,-479471,6775584,222557,++++++++,104991333,0.65,0.02,15.11,63,1.49,0.8, 
1601, 1601 臺灣日光燈,720330,753847,-4.45,-5632,2668,1610857,-94333,1613606,-91665,        ,3169584,5.09,-0.29,8.7,37.47,1.21,0.69,
1602, 1602 太平洋電纜,2751335,2677781,2.75,85555,139934,1162154,7502,1247396,145249,758.8,26751457,0.47,0.05,15.97,59.24,1.37,0.55,
1603, 1603 中華電纜  ,638031,553994,15.17,49968,46576,278069,-320534,317816,-273958,        ,3423000,0.93,-0.8,12,45.21,0.97,0.48,
1604, 1604 聲   寶   ,3655030,3595051,1.67,148956,83579,457010,63750,605966,147329,311.3,9953954,0.61,0.15,12.15,67.3,2.15,1.39,
1605, 1605 華新電纜  ,5072679,3694960,37.29,120245,212591,2138358,-116152,2258603,96439,++++++++,31451846,0.72,0.04,17.18,72.72,1.73,1,
1606, 1606 歌   林   ,988702,1074979,-8.03,-16153,-5650,22376,-83596,9332,-83757,        ,4800000,0.02,-0.17,13.25,45,0.88,0.39,
1608, 1608 華榮電纜  ,1454645,1484532,-2.01,35546,73870,64239,28376,96447,79708,21,5996432,0.16,0.14,14.13,71.73,1.5,0.94,
1609, 1609 大亞電纜  ,1232179,1113799,10.63,81993,18567,55813,-14837,118809,3245,++++++++,5463000,0.22,0.01,12.16,63.95,2,0.96,
1611, 1611 中國電器  ,925478,871629,6.18,70561,75768,105196,30935,145933,84004,73.72,3254212,0.45,0.27,14.85,76.25,3.35,2.53,
1612, 1612 宏  泰    ,569255,604546,-5.84,8070,12680,169372,11306,169734,21519,688.76,3009600,0.56,0.08,13.59,77.79,6.81,4.45,
1613, 1613 台  一    ,1674773,1488122,12.54,30417,47851,96109,-31792,122876,23683,418.84,3893670,0.32,0.07,16.89,46.15,1.23,0.86,
1614, 1614 三洋      ,1414917,1540452,-8.15,33802,6665,49824,42713,76185,51232,48.71,2984578,0.26,0.17,15.91,70.16,2.82,2.04, 
1615, 1615 大山      ,333880,379527,-12.03,-19964,28823,6250,             ,-7119,19529,        ,840000,-0.08,   <<<<<<   ,13.99,59.42,1.27,0.71,
17,   17 化學工業  ,18806184,16466009,14.21,1092363,817518,669235,-302662,1593821,350306,354.98,62473209,0.26,0.06,16.43,60.04,1.64,1,
1701, 1701 中國化學  ,615804,577281,6.67,32252,20738,-16515,-35337,15733,-14599,        ,2281000,0.07,-0.06,15.31,55.87,0.89,0.52,
1702, 1702 南僑化工  ,362922,376211,-3.53,25711,3824,17272,-60398,42983,-56574,        ,2796871,0.15,-0.2,8.84,50.63,1.02,0.66,
1704, 1704 李長榮化工,1673441,1384388,20.88,56977,75236,70596,20440,99956,68935,45,4164044,0.24,0.17,14.18,71.99,2.18,1.28,
1707, 1707 葡萄王企業,212171,155832,36.15,7891,-33739,-28390,-20721,-24168,-39582,        ,1308186,-0.18,-0.3,10.74,83.23,6.68,4.98,
1708, 1708 東南鹼業  ,445117,346857,28.33,-11941,-3648,27333,15535,16764,11767,42.47,1896382,0.09,0.07,12.85,73.68,1.32,0.81,
1709, 1709 和益化工  ,774335,676204,14.51,37535,61794,7157,10875,35605,58149,-38.77,1725005,0.21,0.37,13.87,77.7,3.47,2.03,
1710, 1710 東聯化學  ,1134449,568611,99.51,148384,45511,46484,60146,176650,103804,70.18,5081150,0.35,0.23,11.79,72.15,0.91,0.6,
1711, 1711 永光化學  ,937434,923261,1.54,44782,39625,-1784,-23729,50068,12737,293.09,3393000,0.15,0.04,14.02,63.97,1.34,0.64,
1712, 1712 興   農   ,1544518,1700014,-9.15,2434,29630,84278,-63546,96012,-27666,        ,3447575,0.28,-0.09,11.75,59.79,1.08,0.39,
1713, 1713 國泰化工  ,264952,203973,29.9,24117,25574,15996,5068,32167,24142,33.24,1406229,0.23,0.18,13.83,81.83,6.89,5.48,
1714, 1714 和桐化學  ,1660810,1500463,10.69,57263,118669,135035,82076,167474,160061,4.63,3794444,0.44,0.53,15.3,60.93,2.72,1.09,
1715, 1715 亞  化    ,972095,1026265,-5.28,7287,45449,176413,-95059,190100,-43110,        ,2601146,0.73,-0.17,13.71,49.22,1.21,0.56,
1716, 1716 永  信    ,600436,621564,-3.4,131204,137763,-27369,-18046,92561,105304,-12.1,2196850,0.42,0.62,20.74,80.32,4.72,3.43,
1717, 1717 長興化學  ,3094880,2567248,20.55,345891,292565,-79044,-22295,214495,221594,-3.2,4073517,0.53,0.66,18.83,55.84,1.7,1,
